Kabupaten/Kota,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Jayapura,173.3,0.94,16.34,12,107.8
Kepulauan Yapen,118.6,1.33,11.18,49,106.9
Biak Numfor,141.1,1.23,13.3,63,104.9
Sarmi,43.1,0.96,4.06,3,113.4
Keerom,64.2,1.07,6.05,7,110.7
Waropen,35.8,1.41,3.38,3,111.9
Supiori,24.5,2.14,2.31,37,107.1
Mamberamo Raya,39.4,1.95,3.71,1,108.9
Kota Jayapura,420.6,1.38,39.66,503,112.5
Papua,1060.6,1.28,100,13,109.7
